LCLid,slot_0,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,avg_consumption,median_consumption,std_consumption,min_consumption,max_consumption,base_load,peak_to_avg_ratio,weekend_usage,weekday_usage,Acorn_grouped,stdorToU,cluster
MAC000002,0.29672763399602387,0.27066600377733596,0.2530437375745527,0.2140159045725646,0.18590258449304176,0.14766401590457257,0.13043538767395627,0.11726838966202782,0.1142465208747515,0.11145328031809146,0.10995825049701789,0.11108548707753478,0.10886878727634196,0.10978926441351888,0.11149701789264413,0.12520874751491054,0.13585884691848907,0.18513320099403577,0.2195407554671968,0.26520477157057654,0.27727435387673954,0.2852167,0.2836035862549801,0.2871928427435388,0.28321073558648113,0.28879522862823065,0.2717932409542744,0.2615427433399602,0.23540954294234592,0.2213286854581673,0.20454671968190855,0.19683697813121273,0.19956858827037774,0.20916898628230615,0.2300417491053678,0.2649681908548708,0.3017693833001988,0.34480318051689857,0.5162803188866799,0.44372509920318726,0.6161332003976142,0.41878528827037775,0.37465936195219124,0.38250298230616303,0.37576739642147117,0.3673618298210735,0.34164811133200795,0.3137594435387674,0.25251333888566696,0.158,0.24708429483812983,0.0,2.994,0.088,11.85679938023244,0.267789351880787,0.24638449039354537,Affluent,Std,0
MAC000023,0.1688979089790898,0.13354679790640395,0.10795812807881774,0.09462976629766297,0.08622906403940887,0.08498277982779827,0.08211070110701107,0.07996309963099632,0.07768265682656826,0.078,0.0790381303813038,0.10370848708487085,0.10415621156211563,0.13755719557195573,0.2091389913899139,0.23774538757687577,0.320477244895449,0.3655608857318573,0.3495817958179582,0.3877392372693727,0.3618757685116851,0.33585380798525793,0.31779484078624076,0.30954913968058967,0.33202702714987714,0.37660687911547913,0.39680098218673215,0.424497542997543,0.41750491351351354,0.4002371002457002,0.3754692874692875,0.3703685501228501,0.34700614226044224,0.32188943538083536,0.343702336900369,0.3676007372235872,0.4231621627764128,0.4849570028255528,0.5488697783783784,0.6057813273955774,0.5990872246928747,0.5611449628992629,0.4703144965601966,0.4163013531365314,0.36064698622386226,0.3181389911439114,0.2526752766297663,0.20748216494464944,0.2987523372761968,0.162,0.30273418175442524,0.029,2.4649999,0.056,8.250981138671746,0.2877430624247867,0.30314523756539813,ACORN-U,Std,0
MAC000031,0.18127395577395575,0.16518081180811808,0.1544809348093481,0.1481279212792128,0.14588669950738917,0.1453751537515375,0.14499630996309965,0.14370356703567036,0.14411206896551726,0.148932349200492,0.14536654366543666,0.15292250922509226,0.2085670356703567,0.3009212793357934,0.43027552263222635,0.531258302706027,0.541610086100861,0.5074956945879459,0.49294458091133003,0.4735541870689655,0.4824039411330049,0.4999506773119605,0.49543103362068963,0.5042980291871921,0.49545387503075033,0.47778351783517836,0.4889913896678967,0.49338499446494466,0.47801965626535625,0.47803689901599017,0.4457761381303813,0.47656756719901716,0.4951400497542997,0.5737125318181818,0.6302358716216216,0.6751562114391143,0.7516265346437346,0.7775331706388205,0.7946445269372694,0.7596400502457002,0.7001289918918918,0.6210270270270271,0.5398228772447725,0.4566068793611794,0.37695577309582307,0.30672604385749386,0.24582555307125306,0.20481572493857492,0.4173827726038277,0.203,0.44541281780829844,0.065,4.2470002,0.103,10.175312635701848,0.48714008587464086,0.38953486292167055,Adversity,ToU,0
MAC000077,0.13291491985203452,0.11424074074074074,0.10081728395061729,0.0874363411619283,0.08011975308641976,0.07508271604938271,0.0702604938271605,0.06735925925925926,0.061798765432098765,0.056061728395061725,0.05371481481481481,0.05107037037037037,0.05343456790123456,0.05599135802469136,0.06175925925925926,0.06427037037037037,0.06722592592592593,0.06734567901234567,0.07076543209876543,0.07781728395061728,0.08199382716049383,0.08935308641975309,0.09692478421701602,0.10032429099876695,0.10577188655980271,0.10817139334155364,0.11159926017262639,0.12234525277435264,0.13114180024660912,0.1420937114673243,0.1471134401972873,0.1597336621454994,0.16009135802469138,0.1687016029593095,0.16807274969173858,0.18101233045622686,0.18604562268803948,0.18753760789149196,0.1959358816276202,0.20211097410604192,0.2001664611590629,0.20883970406905056,0.20784586929716398,0.20518988902589394,0.19933045622688042,0.1916794081381011,0.17118495684340318,0.15046115906288532,0.12190733838838197,0.105,0.08573950862566793,0.017,1.104,0.032,9.05605859823459,0.11982506973814451,0.12273996113989637,Adversity,Std,1
MAC000088,0.22552781211372064,0.19344485749690213,0.17750557620817844,0.1662403966542751,0.1738700495049505,0.16564480198019804,0.1601819306930693,0.15346782178217822,0.15122277227722772,0.15259851301115243,0.15055831265508685,0.15673110285006195,0.1637806691449814,0.197180916976456,0.27793928128872364,0.28192317224287483,0.3423382894671623,0.30733002493796524,0.3277141090346535,0.3667858912128713,0.383885043263288,0.3814004949320148,0.36845611878862794,0.38644128566131025,0.3792051919653894,0.3656212871287129,0.3548467243510507,0.3594084163366337,0.37013754659231723,0.4064715346534653,0.41300371249999995,0.41854084108910894,0.42570915866336634,0.44018294227441285,0.45442645290482075,0.4641953029666255,0.46388257033374536,0.47453275648949317,0.4858886133663366,0.5028737623762376,0.49934158403465345,0.4782215346534654,0.4739839106435644,0.4617861556242275,0.4386477131025958,0.3875883807169345,0.3277881039653036,0.2813016069221261,0.3321458591197401,0.279,0.23429426205542325,0.0,2.9460001,0.128,8.869597555145052,0.35905329946519216,0.32144958923320843,Adversity,ToU,0
MAC000090,0.11808168316831683,1.4796460397277227,1.2764863876237624,0.6396505582403966,0.20950618836633664,0.11119925717821783,0.10764727722772277,0.12239727722772278,0.14385272252475248,0.1762772275990099,0.2068155938118812,0.2309690592821782,0.23472896002475246,0.23851113873762378,0.24752598997524755,0.18716356864931846,0.16984777215346536,0.1739876238861386,0.1979306933168317,0.2190816832920792,0.23908529048207663,0.25787639060568607,0.27365636600741655,0.3258442519159456,0.3655970336217553,0.38930655154511745,0.40161557478368354,0.4206304076637824,0.443615574907293,0.43669468467243505,0.4324783678615575,0.42771075389369595,0.4181742886279357,0.4269431393077874,0.43451421433868975,0.4383040781211372,0.4297639056860322,0.4305216316440049,0.41172187898640294,0.386941903461063,0.3603114955500618,0.34824598257107536,0.3412462868811881,0.3144647715698393,0.252224968974042,0.13967985166872682,0.1189368811881188,0.11043811881188118,0.3389286210709408,0.139,0.38408515785478275,0.011,2.628,0.075,7.753845018151878,0.3463862254734934,0.33596539679533344,Adversity,Std,0
MAC000092,0.03989616810877627,0.03078960396039604,0.02453589108910891,0.02302351485148515,0.02076732673267327,0.017632425742574256,0.016701732673267324,0.017574257425742573,0.016881188118811882,0.019518564356435644,0.02618440594059406,0.0339740099009901,0.0726410891089109,0.1234220297029703,0.21620544566831684,0.2501732673267327,0.2598463441140025,0.27092945544554453,0.19984510520446097,0.1687881042131351,0.1481536555142503,0.12812237330037082,0.11293201483312731,0.11021631631644005,0.10643263288009888,0.10389095402726145,0.1073930779975278,0.09215945611866502,0.08678739184177997,0.07911138613861386,0.07887252475247525,0.09731520407911001,0.1309221258343634,0.20223362138442522,0.23920890024721878,0.2211287123762376,0.1458220023485785,0.08807540173053152,0.1037858910891089,0.10846477132262053,0.10653646477132263,0.10709517923362176,0.0994059405940594,0.10279728059332509,0.09571693448702101,0.09097775030902348,0.07609888751545117,0.06413967861557479,0.10589224502203551,0.048,0.17003824015170746,0.0,2.29,0.0,21.625757386893305,0.08238062878499593,0.11523879841521395,Adversity,Std,1
MAC000099,0.09889616810877627,0.09503589108910891,0.08136633663366337,0.07261262376237623,0.062344059405940594,0.057262376237623765,0.05192450495049505,0.05158292079207921,0.05274257425742574,0.05338613861386139,0.05314975247524752,0.05833663366336634,0.06625495049504951,0.0682660891089109,0.07110272277227722,0.07372648514851485,0.08157178217821781,0.08319206939281289,0.08951485148514852,0.08964232673267326,0.0895470297029703,0.0920259900990099,0.09130607187112763,0.08840222772277229,0.0878910891089109,0.08365841584158416,0.08767490729295427,0.09105315203955501,0.08547466007416564,0.08709147095179233,0.09051174289245983,0.08826699629171818,0.08831891211372063,0.08632632880098887,0.1021495673671199,0.10490358467243512,0.12735846724351052,0.1284487022249691,0.1291831683168317,0.13291100135970332,0.14735599505562422,0.13424845488257106,0.13543386897404203,0.11703213844252164,0.11184054388133498,0.12556736711990113,0.12542892459826946,0.11815822002472189,0.09145809710596846,0.077,0.07989869094481258,0.0,1.767,0.027,19.32032325090533,0.08960132260168494,0.09219632630650099,ACORN-U,Std,1
MAC000102,0.10048685857321653,0.08340926157697122,0.06776720901126408,0.05874718397997497,0.055023779724655816,0.05339674593241552,0.052513141426783476,0.051926157697121396,0.05117021276595744,0.0505657071339174,0.049683354192740926,0.05013642052565707,0.04835294117647059,0.04736045056320401,0.04700375939849624,0.048252816020025034,0.04973967459324155,0.05039924906132666,0.04840801001251564,0.04847309136420525,0.045642857142857145,0.04501126408010012,0.04704630788485607,0.04523028785982478,0.04844305381727159,0.052784730913642046,0.05723558897243108,0.05832040050062578,0.060754693366708384,0.06139173967459324,0.06983103879849813,0.07632165206508136,0.08999874818523154,0.09564705869837296,0.0791314142678348,0.06628535669586984,0.06368546365914787,0.06282352941176471,0.060420525657071344,0.06210012515644556,0.06712515644555694,0.08992240300375469,0.10542428035043803,0.12746182728410513,0.13712515644555695,0.1425006257822278,0.13548185231539425,0.1196883604505632,0.06845264419787211,0.055,0.06168169126635147,0.0,1.2359999,0.021,18.056276926676,0.06589473683296783,0.06947416434827032,Adversity,Std,1
MAC000104,0.07078465346534654,0.06389591078066914,0.05792936802973978,0.05610656753407683,0.054843866171003716,0.05413011152416357,0.05428500619578686,0.052573729863692686,0.05288957816377171,0.052068153655514246,0.05182899628252788,0.053097893432465924,0.05269144981412639,0.06000991325898389,0.09617472143742256,0.12290086741016108,0.13755583138957816,0.16926022304832714,0.1564131517369727,0.14584634436183394,0.14937422540272613,0.1544900988861386,0.16668193094059405,0.17645049517326733,0.1844480196782178,0.18230111548946717,0.18996658415841583,0.18033663366336633,0.18132673267326732,0.1860148697645601,0.1993258986369269,0.20764232685643563,0.23140346534653464,0.2560841585396039,0.2847400991336633,0.3176592314745973,0.3472784650990099,0.36780816856435644,0.35382156133828996,0.35846782215346534,0.3365185643564356,0.289602723019802,0.2580012392812887,0.22573391076732674,0.1749455446782178,0.1312970297029703,0.10978589121287129,0.08281930680693068,0.16460712170042574,0.093,0.22048122426011937,0.01,2.918,0.032,17.727058038901685,0.17969949261641602,0.1585967457517047,Adversity,Std,1
